69
905.064 -807.125 0.125002,,stand,8.1958 -173.589 0,,
730.346 -819.31 0.125002,,stand,11.9806 -169.81 0,,
207.125 -900.729 0.125002,,stand,12.2662 -69.4611 0,,
284.044 -1122.12 0.125002,,stand,7.62451 -102.008 0,,
346.857 -1570.12 0.125002,,stand,15.3314 -98.2233 0,,
243.625 -2047.39 9.6294,,stand,16.6882 -62.7539 0,,
343.56 -2696.87 0.125002,,stand,17.4023 23.1042 0,,
513.815 -2546.6 0.125002,,stand,13.4747 13.1836 0,,
802.829 -2488.31 0.125002,,stand,13.6176 20.5334 0,,
1489.54 -2263.24 0.125002,,stand,8.41003 10.0415 0,,
1951.08 -2014.53 0.125002,,stand,15.0458 -91.5875 0,,
2093.66 -2167.17 0.125002,,stand,16.3312 -121.992 0,,
1865.31 -2677.69 0.125002,,stand,17.4023 110.759 0,,
1707.9 -1854.84 0.124999,,stand,10.4095 72.4329 0,,
1506.26 -1476.81 0.125,,stand,13.7604 19.4073 0,,
2019.94 -1036.91 0.125,,stand,11.2665 -133.621 0,,
1849.32 -890.419 0.125,,stand,7.41028 -158.961 0,,
1396.79 -1133.35 0.125,,stand,16.1169 122.607 0,,
994.471 -1105.52 0.125,,stand,10.2667 -149.041 0,,
557.174 -1350.53 0.125001,,stand,13.6176 -101.294 0,,
697.284 -1668.39 0.125001,,stand,16.6168 13.6121 0,,
1016.97 -1750.37 0.125001,,stand,10.5524 10.827 0,,
1280.52 -1758.38 0.125,,stand,9.98108 32.0251 0,,
1627.97 -1620.53 0.125,,stand,13.7604 -21.8573 0,,
1859.85 -1487.87 0.124999,,stand,11.2665 -92.9443 0,,
1855.4 -1755.77 14.125,,stand,11.4807 -93.6584 0,,
1829.59 -2111.78 0.125,,stand,14.6887 -91.5161 0,,
1752.66 -2437.07 0.125,,stand,18.7592 13.8977 0,,
2041.74 -2564 0.125,,stand,12.1234 104.321 0,,
1925.44 -2173.33 0.125,,stand,14.8315 175.045 0,,
1646.48 -2308.94 0.125,,stand,14.1888 174.974 0,,
1335.84 -2330.11 0.125,,stand,15.5457 65.2808 0,,
1165.37 -2092.13 0.125,,stand,12.1234 94.2572 0,,
1053.9 -1771.82 1.92501,,stand,12.3376 82.337 0,,
1126 -1468.76 0.125,,stand,14.4745 114.456 0,,
1107.09 -1136.89 0.125,,stand,10.5524 174.479 0,,
851.034 -1117.81 0.125,,stand,15.9027 -156.478 0,,
343.017 -1322.33 0.125,,stand,8.48145 87.4786 0,,
406.928 -825.677 0.125,,stand,11.8323 -31.9263 0,,
1003.08 -1310.85 133.945,,stand,33.4589 154.506 0,,
1004.83 -1345.62 123.125,,stand,26.3232 -111.286 0,,
973.506 -1462.94 123.125,,stand,17.4738 -66.8958 0,,
978.74 -1559.62 123.125,,stand,30.2509 -147.469 0,,
1283.78 -2135.28 123.125,,stand,30.8221 32.8107 0,,
1412.98 -2168.39 123.125,,stand,23.7579 82.8369 0,,
1400.16 -1977.19 123.125,,stand,24.3292 93.8287 0,,
1275 -1914.74 123.125,,stand,27.3285 83.4082 0,,
1393.25 -1787.34 126.125,,stand,22.4725 77.0581 0,,
1426.39 -1629.55 123.125,,stand,12.8375 94.043 0,,
1414.18 -1358.81 123.125,,stand,35.6781 152.639 0,,
1654.25 -2144.28 0.124999,,stand,17.0508 179.258 0,,
1325.85 -2625.86 0.124999,,stand,19.9731 81.3428 0,,
965.981 -2333.44 0.125001,,stand,11.7664 -169.25 0,,
587.656 -2333.85 0.125001,,stand,7.5531 113.313 0,,
503.9 -2183.79 0.125001,,stand,12.6947 114.955 0,,
466.564 -1949.52 132.051,,stand,20.5444 92.1863 0,,
462.421 -1860.68 123.125,,stand,21.6156 119.592 0,,
271.522 -1652.26 124.125,,stand,23.3295 -93.3838 0,,
267.254 -1882.66 123.125,,stand,34.1071 -57.0575 0,,
478.549 -1627.58 123.125,,stand,16.051 73.3337 0,,
845.543 -1500.54 14.125,,stand,31.3934 -72.1912 0,,
833.139 -1785.57 0.125,,stand,9.26697 78.2007 0,,
1697.44 -1110.98 0.124998,,stand,12.1234 -44.9835 0,,
2077.25 -1552.74 0.124998,,stand,11.9806 -85.5945 0,,
1518.26 -2413.09 0.124998,,stand,10.838 151.496 0,,
1398.18 -841.286 0.125001,,stand,9.55811 -32.5085 0,,
688.94 -1974.77 0.125,,stand,15.0568 92.6038 0,,
690.722 -1487.86 0.125,,stand,6.63025 -86.2427 0,,
607.34 -1103.92 0.124839,,stand,19.7644 15.1831 0,,
